row,name,clan,cwl_slot,transferred_from,current_th,avg_war_th,attack_count,three_star_pct,miss_pct,th_attack_diff,offense_score,defense_score,final_score,flag_high_miss,flag_ltd_data,flag_no_data,flag_prev_data,flags,flag_alt
47,%99,Cake,SUB,,17,17.0,38,52.6,13.6,-0.2,44.9,26.0,70.9,False,False,False,False,,False
48,Abyssal_Witch❤️,Cake,SUB,,17,17.0,37,54.0,2.6,0.2,53.2,17.2,70.4,False,False,False,False,,False
49,Vader,Cake,SUB,,17,17.0,29,58.6,0.0,-0.4,57.4,12.8,70.2,False,False,False,False,,False
50,Rodrigo,Cake,SUB,,18,18.0,57,42.1,12.3,-0.4,36.2,31.4,67.6,False,False,False,False,,False
51,Deathly Knight,Cake,SUB,,17,17.0,28,42.9,3.5,0.1,41.6,15.8,57.4,False,False,False,False,,False
52,APHRODITE ✨,Cake,SUB,,17,17.0,40,42.5,18.4,0.5,35.6,9.9,45.5,False,False,False,False,,False
53,Sky,Cake,SUB,,17,17.0,12,58.3,0.0,-1.2,26.4,11.0,37.4,False,False,False,False,,False
54,PAUL,Cake,SUB,,17,17.0,12,58.3,14.3,-0.5,23.4,5.5,28.9,False,False,False,False,,False
55,o.k,Cake,SUB,,17,16.3,3,66.7,90.6,-2.0,0.7,16.4,17.1,True,True,False,False,HM LTD,False
56,"CallMe ""LYN""",Cake,SUB,,17,17.0,2,50.0,0.0,-2.0,3.6,1.8,5.4,False,True,False,False,LTD,False
57,saro,Cake,SUB,,18,,0,0.0,0.0,,,,,False,False,True,False,ND,False
58,zombie,Cake,SUB,,18,,0,0.0,0.0,,,,,False,False,True,False,ND,False
59,Hexfactor,Cake,Turtle Kingdom,,18,18.0,50,86.3,0.0,0.0,86.3,,86.3,False,False,False,True,prev,False
60,Jules,Flakes,CORE,,16,15.3,88,95.5,0.0,0.7,98.7,20.3,119.0,False,False,False,False,,False
61,Watermark:),Flakes,CORE,Cake,16,16.0,34,91.2,0.0,0.3,92.8,24.9,117.7,False,False,False,False,← Cake,False
62,Ayishu,Flakes,CORE,Cake,17,16.5,48,70.8,2.0,0.3,70.6,37.4,108.0,False,False,False,False,← Cake,False
63,jerm,Flakes,CORE,,16,16.0,41,82.9,4.7,1.0,83.0,13.7,96.7,False,False,False,False,,False
64,Genjey,Flakes,CORE,,17,16.3,83,77.1,1.2,-0.1,75.8,15.0,90.8,False,False,False,False,,False
65,Happy,Flakes,CORE,Cake,17,16.2,75,73.3,6.2,0.9,71.8,18.7,90.5,False,False,False,False,← Cake,False
66,Snipe789,Flakes,CORE,,16,15.3,40,50.0,0.0,1.4,53.5,36.4,89.9,False,False,False,False,,False
67,Jermaine,Flakes,CORE,,15,14.6,33,63.6,0.0,1.1,67.1,19.7,86.8,False,False,False,False,,False
68,Ale,Flakes,CORE,,15,14.8,72,66.7,0.0,0.6,68.8,17.3,86.1,False,False,False,False,,False
69,Yaki,Flakes,CORE,,15,14.7,67,70.2,13.0,0.7,63.3,18.3,81.6,False,False,False,False,,False
70,ZiggyTheGreat,Flakes,CORE,Cake,18,17.5,76,63.2,0.0,0.1,63.5,18.0,81.5,False,False,False,False,← Cake,False
71,ROCKZ,Flakes,CORE,Cake,17,16.5,63,63.5,0.0,0.6,65.3,13.6,78.9,False,False,False,False,← Cake,False
72,Death Dealer,Flakes,CORE,,16,16.0,25,52.0,0.0,-0.5,50.8,26.9,77.7,False,False,False,False,,False
73,_Aka_math,Flakes,CORE,,16,15.2,49,71.4,10.9,0.2,64.4,9.8,74.2,False,False,False,False,,False
74,DemonJuan,Flakes,CORE,,14,13.1,42,59.5,0.0,0.9,62.1,12.0,74.1,False,False,False,False,,False
75,™️Gazo™️,Flakes,CORE,,18,18.0,53,50.9,11.7,-0.5,43.9,28.7,72.6,False,False,False,False,,False
76,AVINASH,Flakes,CORE,Cake,16,16.0,32,46.9,11.1,0.1,41.9,23.1,65.0,False,False,False,False,← Cake,False
77,Chaengiiee,Flakes,CORE,Cake,17,17.0,69,55.1,8.0,0.0,50.7,12.1,62.8,False,False,False,False,← Cake,False
78,Projectsnipe2,Flakes,CORE,,14,14.0,33,54.5,2.9,1.0,55.7,4.4,60.1,False,False,False,False,,False
79,pvp,Flakes,CORE,Cake,17,16.5,40,40.0,13.0,0.8,36.1,23.8,59.9,False,False,False,False,← Cake,False
80,LordDavid,Flakes,CORE,,15,15.0,70,40.0,11.4,0.6,36.5,23.3,59.8,False,False,False,False,,False
81,Tenlek,Flakes,CORE,Cake,17,17.0,41,41.5,4.7,0.6,40.7,16.9,57.6,False,False,False,False,← Cake,False
82,twistedtiger,Flakes,CORE,,12,11.7,18,83.3,25.0,0.3,45.6,9.9,55.5,True,False,False,False,HM,False
83,Death Eaters RS,Flakes,CORE,,18,17.1,47,63.8,27.7,0.4,47.0,7.7,54.7,True,False,False,False,HM,False
84,⚡️GRIZZLE⚡️,Flakes,CORE,,16,16.0,73,39.7,4.0,1.0,40.1,14.0,54.1,False,False,False,False,,False
85,TheLionHeart,Flakes,CORE,Cake,16,16.0,17,58.8,0.0,0.7,41.3,10.5,51.8,False,False,False,False,← Cake,False
86,Yuki,Flakes,CORE,,14,13.1,25,44.0,19.4,1.9,38.8,6.3,45.1,False,False,False,False,,False
87,Seth The Great,Flakes,CORE,,14,14.0,10,80.0,0.0,1.4,34.2,1.6,35.8,False,False,False,False,,False
